n,tp,fp,tn,fn,fpr,fnr,ppv,npv,tpr_recall,tnr_spec,accuracy,balanced_accuracy,overall_error,selection_rate,threshold,group
2454.0,283.0,136.0,1352.0,683.0,0.0913978494623656,0.7070393374741201,0.6754176610978521,0.6643734643734643,0.29296066252587993,0.9086021505376344,0.6662591687041565,0.6007814065317572,0.33374083129584353,0.17074164629176855,7,White
,,,,,0.15762722017551742,-0.2215054079633363,0.01089812837583215,-0.07080235032678883,0.2215054079633363,-0.15762722017551745,-0.036930164375152175,0.031939093893909476,0.03693016437515212,0.21481030176017948,7,Gap (Black - White)
7214.0,1001.0,402.0,3561.0,2250.0,0.10143830431491295,0.6920947400799754,0.7134711332858161,0.6128033040784718,0.3079052599200246,0.898561695685087,0.6323814804546715,0.6032334778025559,0.36761851954532854,0.19448294981979483,8,Sample R
6150.0,936.0,365.0,2918.0,1931.0,0.11117879987816022,0.6735263341471922,0.7194465795541891,0.6017735615590843,0.3264736658528078,0.8888212001218397,0.6266666666666667,0.6076474329873238,0.37333333333333335,0.21154471544715447,8,Sample C
3696.0,741.0,284.0,1511.0,1160.0,0.15821727019498608,0.6102051551814834,0.7229268292682927,0.5657057281916885,0.38979484481851656,0.8417827298050139,0.6093073593073594,0.6157887873117652,0.3906926406926407,0.2773268398268398,8,Black
2454.0,195.0,81.0,1407.0,771.0,0.05443548387096774,0.7981366459627329,0.7065217391304348,0.6460055096418733,0.20186335403726707,0.9455645161290323,0.6528117359413202,0.5737139350831497,0.3471882640586797,0.11246943765281174,8,White
,,,,,0.10378178632401833,-0.1879314907812495,0.016405090137857847,-0.08029978145018479,0.1879314907812495,-0.10378178632401835,-0.043504376633960895,0.04207485222861551,0.043504376633961006,0.16485740217402806,8,Gap (Black - White)
7214.0,651.0,240.0,3723.0,2600.0,0.06056018168054504,0.7997539218701938,0.7306397306397306,0.5888027834888502,0.20024607812980622,0.939439818319455,0.6063210424175215,0.5698429482246306,0.3936789575824785,0.12350984197393956,9,Sample R
6150.0,609.0,219.0,3064.0,2258.0,0.06670727992689614,0.7875828392047436,0.7355072463768116,0.5757234122510334,0.2124171607952564,0.9332927200731038,0.5972357723577236,0.5728549404341801,0.40276422764227643,0.13463414634146342,9,Sample C
3696.0,496.0,170.0,1625.0,1405.0,0.0947075208913649,0.7390846922672277,0.7447447447447447,0.5363036303630363,0.2609153077327723,0.9052924791086351,0.5738636363636364,0.5831038934207037,0.42613636363636365,0.18019480519480519,9,Black
2454.0,113.0,49.0,1439.0,853.0,0.03293010752688172,0.8830227743271222,0.6975308641975309,0.6278359511343804,0.11697722567287783,0.9670698924731183,0.632436837815811,0.542023559072998,0.36756316218418905,0.06601466992665037,9,White
,,,,,0.06177741336448318,-0.14393808205989445,0.04721388054721387,-0.0915323207713441,0.14393808205989445,-0.06177741336448317,-0.058573201452174595,0.04108033434770564,0.058573201452174595,0.11418013526815482,9,Gap (Black - White)
7214.0,296.0,87.0,3876.0,2955.0,0.02195306585919758,0.908951091971701,0.7728459530026109,0.5674132630654369,0.09104890802829901,0.9780469341408025,0.5783199334627114,0.5345479210845507,0.4216800665372886,0.053091211533130026,10,Sample R
6150.0,272.0,78.0,3205.0,2595.0,0.02375875723423698,0.9051273107778165,0.7771428571428571,0.5525862068965517,0.0948726892221835,0.9762412427657631,0.5653658536585365,0.5355569659939733,0.4346341463414634,0.056910569105691054,10,Sample C
3696.0,227.0,59.0,1736.0,1674.0,0.03286908077994429,0.8805891635981062,0.7937062937062938,0.509090909090909,0.11941083640189376,0.9671309192200557,0.5311147186147186,0.5432708778109747,0.4688852813852814,0.07738095238095238,10,Black
2454.0,45.0,19.0,1469.0,921.0,0.012768817204301076,0.953416149068323,0.703125,0.6146443514644352,0.04658385093167705,0.9872311827956989,0.6169519152404238,0.516907516863688,0.3830480847595762,0.026079869600651995,10,White
,,,,,0.020100263575643214,-0.07282698547021671,0.09058129370629375,-0.10555344237352615,0.07282698547021671,-0.020100263575643207,-0.08583719662570521,0.02636336094728675,0.08583719662570521,0.05130108278030039,10,Gap (Black - White)
7214.0,0.0,0.0,3963.0,3251.0,0.0,1.0,,0.5493484890490713,0.0,1.0,0.5493484890490713,0.5,0.45065151095092876,0.0,11,Sample R
6150.0,0.0,0.0,3283.0,2867.0,0.0,1.0,,0.5338211382113821,0.0,1.0,0.5338211382113821,0.5,0.4661788617886179,0.0,11,Sample C
3696.0,0.0,0.0,1795.0,1901.0,0.0,1.0,,0.4856601731601732,0.0,1.0,0.4856601731601732,0.5,0.5143398268398268,0.0,11,Black
2454.0,0.0,0.0,1488.0,966.0,0.0,1.0,,0.6063569682151589,0.0,1.0,0.6063569682151589,0.5,0.39364303178484106,0.0,11,White
,,,,,0.0,0.0,,-0.12069679505498576,0.0,0.0,-0.12069679505498576,0.0,0.12069679505498576,0.0,11,Gap (Black - White)
