threshold,metric,ci_lower,ci_upper
7,tnr_spec (White),0.8935436320754717,0.9233965227402608
7,tnr_spec Gap (B-W),-0.18296905066889066,-0.13336050939999144
7,accuracy (Black),0.6133658008658008,0.645021645021645
7,accuracy (White),0.6475142624286878,0.6850040749796251
7,accuracy Gap (B-W),-0.06174503725695656,-0.01237593142391437
7,balanced_accuracy (Black),0.6176872846934333,0.6480229273676426
7,balanced_accuracy (White),0.584395721398405,0.6170615315834641
7,balanced_accuracy Gap (B-W),0.00935973329923309,0.05439828668306793
7,overall_error (Black),0.354978354978355,0.3866341991341991
7,overall_error (White),0.3149959250203749,0.35248573757131213
7,overall_error Gap (B-W),0.012375931423914306,0.06174503725695661
7,selection_rate (Black),0.3693181818181818,0.4015151515151515
7,selection_rate (White),0.1556642216788916,0.18581907090464547
7,selection_rate Gap (B-W),0.19248349831708636,0.23679992710020215
8,fpr (Black),0.14145770240318886,0.17552975471792515
8,fpr (White),0.04335975609756097,0.06617175151745627
8,fpr Gap (B-W),0.08372558266782495,0.12478352856208817
8,fnr (Black),0.5877693554193169,0.6328006086787709
8,fnr (White),0.7723821259646503,0.8235936733234077
8,fnr Gap (B-W),-0.22156432901098752,-0.15373287038715244
8,ppv (Black),0.6945218198700093,0.7505325770055877
8,ppv (White),0.6514643643620681,0.7595501456408195
8,ppv Gap (B-W),-0.04383833445543462,0.07605154788241413
8,npv (Black),0.5466417910447762,0.5839940351415156
8,npv (White),0.6259670547540707,0.6663615769525216
8,npv Gap (B-W),-0.10797957007790647,-0.053623807180606685
8,tpr_recall (Black),0.3671993913212291,0.41223064458068315
8,tpr_recall (White),0.1764063266765922,0.22761787403534972
8,tpr_recall Gap (B-W),0.15373287038715241,0.22156432901098752
8,tnr_spec (Black),0.8244702452820748,0.8585422975968111
8,tnr_spec (White),0.9338282484825438,0.956640243902439
8,tnr_spec Gap (B-W),-0.12478352856208826,-0.083725582667825
8,accuracy (Black),0.5930735930735931,0.625
8,accuracy (White),0.6344743276283619,0.6715566422167889
8,accuracy Gap (B-W),-0.06806393484266339,-0.019889257798029247
8,balanced_accuracy (Black),0.601894532702992,0.6297093701803768
8,balanced_accuracy (White),0.5600759986854941,0.5880359991363484
8,balanced_accuracy Gap (B-W),0.022168875047544345,0.061297653953952584
8,overall_error (Black),0.375,0.4069264069264069
8,overall_error (White),0.3284433577832111,0.36552567237163813
8,overall_error Gap (B-W),0.019889257798029192,0.0680639348426634
8,selection_rate (Black),0.262987012987013,0.29167343073593066
8,selection_rate (White),0.09983700081499593,0.12510187449062754
8,selection_rate Gap (B-W),0.14561767694408284,0.18435793271520656
9,fpr (Black),0.08161016307787287,0.10857492642930736
9,fpr (White),0.0242583517111819,0.04222542935620311
9,fpr Gap (B-W),0.045547762977166784,0.07854052746913721
